entity_id,entity_name,entity_type,pan_hash,is_ring_member,is_structuring_member,ring_id,incorporation_age_days
1,Pinnacle Consultancy Pvt Ltd,Pvt Ltd Company,PAN000001,0,0,,540.0
2,Priya Rao,Individual,PAN000002,0,0,,
3,Pinnacle Ventures Pvt Ltd,Partnership Firm,PAN000003,0,0,,895.0
4,Orbis Holdings LLP,Pvt Ltd Company,PAN000004,0,0,,1678.0
5,Kavya Sharma,Individual,PAN000005,0,0,,
6,Amit Singh,Individual,PAN000006,0,0,,
7,Amit Menon,Individual,PAN000007,0,0,,
8,Sunrise Consultancy Pvt Ltd,Pvt Ltd Company,PAN000008,0,0,,2978.0
9,Vikram Rao,Individual,PAN000009,0,0,,
10,Pooja Pillai,Individual,PAN000010,0,0,,
11,Pinnacle Trading Pvt Ltd,Trust,PAN000011,0,0,,3318.0
12,Amit Kulkarni,Individual,PAN000012,0,0,,
13,Sunrise Infra LLP,LLP,PAN000013,0,0,,3764.0
14,Alpine Realty LLP,Pvt Ltd Company,PAN000014,0,0,,2005.0
15,Divya Reddy,Individual,PAN000015,0,0,,
16,Suresh Verma,Individual,PAN000016,0,0,,
17,Rohan Rao,Individual,PAN000017,0,0,,
18,Anjali Desai,Individual,PAN000018,0,0,,
19,Meera Pillai,Individual,PAN000019,0,0,,
20,Sunrise Infra Pvt Ltd,Pvt Ltd Company,PAN000020,0,0,,1551.0
21,Priya Gupta,Individual,PAN000021,0,0,,
22,Anjali Nair,Individual,PAN000022,0,0,,
23,Vikram Singh,NRI Individual,PAN000023,0,0,,975.0
24,Suresh Joshi,Individual,PAN000024,0,0,,
25,Divya Patel,Individual,PAN000025,0,0,,
26,Sneha Nair,Individual,PAN000026,0,0,,
27,Ajay Kulkarni,Individual,PAN000027,0,0,,
28,Meridian Realty LLP,LLP,PAN000028,0,0,,1460.0
29,Priya Gupta,Individual,PAN000029,0,0,,
30,Neha Pillai,Individual,PAN000030,0,0,,
31,Sneha Nair,NRI Individual,PAN000031,0,0,,1103.0
32,Vertex Enterprises LLP,LLP,PAN000032,0,0,,2992.0
33,Ajay Sharma,Individual,PAN000033,0,0,,
34,Orbis Enterprises LLP,Pvt Ltd Company,PAN000034,0,0,,1754.0
35,Crestline Realty LLP,Pvt Ltd Company,PAN000035,0,0,,1804.0
36,Alpine Holdings LLP,Pvt Ltd Company,PAN000036,0,0,,2674.0
37,Rahul Desai,Individual,PAN000037,0,0,,
38,Priya Rao,Individual,PAN000038,0,0,,
39,Neha Patel,Individual,PAN000039,0,0,,
40,Meridian Infra Pvt Ltd,Partnership Firm,PAN000040,0,0,,412.0
41,Rohan Sharma,Individual,PAN000041,0,0,,
42,Pinnacle Infra Pvt Ltd,Trust,PAN000042,0,0,,3113.0
43,Sunrise Consultancy LLP,Pvt Ltd Company,PAN000043,0,0,,160.0
44,Meera Singh,Individual,PAN000044,0,0,,
45,Anjali Pillai,Individual,PAN000045,0,0,,
46,Neha Iyer,Individual,PAN000046,0,0,,
47,Crestline Realty LLP,Pvt Ltd Company,PAN000047,0,0,,1957.0
48,Priya Singh,Individual,PAN000048,0,0,,
49,Orbis Ventures Pvt Ltd,Pvt Ltd Company,PAN000049,0,0,,2688.0
50,Divya Rao,Individual,PAN000050,0,0,,
51,Sneha Pillai,Individual,PAN000051,0,0,,
52,Rahul Joshi,Individual,PAN000052,0,0,,
53,Amit Sharma,Individual,PAN000053,0,0,,
54,Sneha Verma,NRI Individual,PAN000054,0,0,,1737.0
55,Orbis Consultancy Pvt Ltd,LLP,PAN000055,0,0,,3624.0
56,Meera Nair,Individual,PAN000056,0,0,,
57,Vikram Kulkarni,Individual,PAN000057,0,0,,
58,Kavya Desai,Individual,PAN000058,0,0,,
59,Sneha Gupta,Individual,PAN000059,0,0,,
60,Amit Desai,Individual,PAN000060,0,0,,
61,Neha Singh,Individual,PAN000061,0,0,,
62,Summit Ventures LLP,Pvt Ltd Company,PAN000062,0,0,,52.0
63,Neha Nair,NRI Individual,PAN000063,0,0,,602.0
64,Sneha Verma,Individual,PAN000064,0,0,,
65,Ajay Kulkarni,Individual,PAN000065,0,0,,
66,Zenith Realty LLP,Pvt Ltd Company,PAN000066,0,0,,418.0
67,Suresh Verma,Individual,PAN000067,0,0,,
68,Karan Singh,Individual,PAN000068,0,0,,
69,Neha Sharma,Individual,PAN000069,0,0,,
70,Divya Sharma,Individual,PAN000070,0,0,,
71,Kavya Verma,Individual,PAN000071,0,0,,
72,Rahul Kulkarni,Individual,PAN000072,0,0,,
73,Suresh Reddy,NRI Individual,PAN000073,0,0,,740.0
74,Cascade Ventures LLP,Pvt Ltd Company,PAN000074,0,0,,138.0
75,Anjali Gupta,Individual,PAN000075,0,0,,
76,Rohan Sharma,Individual,PAN000076,0,0,,
77,Pooja Kulkarni,Individual,PAN000077,0,0,,
78,Summit Consultancy Pvt Ltd,LLP,PAN000078,0,0,,3919.0
79,Divya Iyer,Individual,PAN000079,0,0,,
80,Pooja Reddy,Individual,PAN000080,0,0,,
81,Alpine Trading LLP,LLP,PAN000081,0,0,,2458.0
82,Neha Sharma,NRI Individual,PAN000082,0,0,,1130.0
83,Ajay Gupta,Individual,PAN000083,0,0,,
84,Novus Ventures LLP,Pvt Ltd Company,PAN000084,0,0,,2737.0
85,Anjali Nair,Individual,PAN000085,0,0,,
86,Zenith Ventures LLP,Pvt Ltd Company,PAN000086,0,0,,1343.0
87,Rohan Nair,NRI Individual,PAN000087,0,0,,283.0
88,Anjali Sharma,NRI Individual,PAN000088,0,0,,3749.0
89,Novus Trading Pvt Ltd,Trust,PAN000089,0,0,,3223.0
90,Anjali Rao,Individual,PAN000090,0,0,,
91,Pinnacle Infra Pvt Ltd,Partnership Firm,PAN000091,0,0,,264.0
92,Ajay Reddy,Individual,PAN000092,0,0,,
93,Meridian Ventures Pvt Ltd,LLP,PAN000093,0,0,,847.0
94,Sneha Menon,Individual,PAN000094,0,0,,
95,Pinnacle Ventures Pvt Ltd,Trust,PAN000095,0,0,,3365.0
96,Pooja Desai,Individual,PAN000096,0,0,,
97,Vertex Ventures LLP,Pvt Ltd Company,PAN000097,0,0,,2047.0
98,Crestline Infra Pvt Ltd,Pvt Ltd Company,PAN000098,0,0,,1884.0
99,Rahul Verma,Individual,PAN000099,0,0,,
100,Rohan Rao,Individual,PAN000100,0,0,,
101,Divya Rao,Individual,PAN000101,0,0,,
102,Pooja Iyer,Individual,PAN000102,0,0,,
103,Ajay Singh,Individual,PAN000103,0,0,,
104,Karan Pillai,NRI Individual,PAN000104,0,0,,1702.0
105,Priya Reddy,Individual,PAN000105,0,0,,
106,Crestline Trading Pvt Ltd,LLP,PAN000106,0,0,,3179.0
107,Novus Infra LLP,LLP,PAN000107,0,0,,108.0
108,Divya Sharma,Individual,PAN000108,0,0,,
109,Amit Singh,Individual,PAN000109,0,0,,
110,Vikram Nair,Individual,PAN000110,0,0,,
111,Arjun Patel,Individual,PAN000111,0,0,,
112,Kavya Sharma,Individual,PAN000112,0,0,,
113,Kavya Verma,Individual,PAN000113,0,0,,
114,Novus Infra LLP,Partnership Firm,PAN000114,0,0,,2525.0
115,Summit Consultancy LLP,Partnership Firm,PAN000115,0,0,,1937.0
116,Suresh Reddy,Individual,PAN000116,0,0,,
117,Arjun Kulkarni,NRI Individual,PAN000117,0,0,,2987.0
118,Ajay Singh,NRI Individual,PAN000118,0,0,,1319.0
119,Amit Rao,Individual,PAN000119,0,0,,
120,Rahul Gupta,Individual,PAN000120,0,0,,
121,Neha Verma,Individual,PAN000121,0,0,,
122,Pooja Menon,Individual,PAN000122,0,0,,
123,Zenith Trading Pvt Ltd,Pvt Ltd Company,PAN000123,0,0,,3956.0
124,Pinnacle Enterprises LLP,Pvt Ltd Company,PAN000124,0,0,,2276.0
125,Zenith Ventures LLP,LLP,PAN000125,0,0,,1342.0
126,Divya Patel,Individual,PAN000126,0,0,,
127,Pooja Nair,Individual,PAN000127,0,0,,
128,Vertex Enterprises Pvt Ltd,Pvt Ltd Company,PAN000128,0,0,,2681.0
129,Orbis Realty Pvt Ltd,Pvt Ltd Company,PAN000129,0,0,,1314.0
130,Summit Enterprises LLP,Pvt Ltd Company,PAN000130,0,0,,194.0
131,Arjun Sharma,Individual,PAN000131,0,0,,
132,Crestline Enterprises Pvt Ltd,LLP,PAN000132,0,0,,2887.0
133,Ajay Patel,Individual,PAN000133,0,0,,
134,Kavya Joshi,Individual,PAN000134,0,0,,
135,Arjun Gupta,Individual,PAN000135,0,0,,
136,Crestline Enterprises Pvt Ltd,Pvt Ltd Company,PAN000136,0,0,,2635.0
137,Vikram Pillai,Individual,PAN000137,0,0,,
138,Pooja Singh,Individual,PAN000138,0,0,,
139,Karan Nair,NRI Individual,PAN000139,0,0,,3307.0
140,Meera Iyer,Individual,PAN000140,0,0,,
141,Ajay Menon,Individual,PAN000141,0,0,,
142,Suresh Menon,Individual,PAN000142,0,0,,
143,Rahul Rao,NRI Individual,PAN000143,0,0,,910.0
144,Alpine Holdings Pvt Ltd,Pvt Ltd Company,PAN000144,0,0,,970.0
145,Pooja Verma,Individual,PAN000145,0,0,,
146,Summit Enterprises LLP,LLP,PAN000146,0,0,,2869.0
147,Arjun Nair,Individual,PAN000147,0,0,,
148,Sunrise Realty Pvt Ltd,Pvt Ltd Company,PAN000148,0,0,,1051.0
149,Vikram Pillai,Individual,PAN000149,0,0,,
150,Karan Nair,Individual,PAN000150,0,0,,
151,Arjun Nair,Individual,PAN000151,0,0,,
152,Rahul Reddy,Individual,PAN000152,0,0,,
153,Neha Singh,Individual,PAN000153,0,0,,
154,Cascade Infra LLP,LLP,PAN000154,0,0,,3252.0
155,Ajay Iyer,Individual,PAN000155,0,0,,
156,Orbis Consultancy LLP,Pvt Ltd Company,PAN000156,0,0,,2351.0
157,Pinnacle Consultancy LLP,LLP,PAN000157,0,0,,3221.0
158,Summit Holdings LLP,Partnership Firm,PAN000158,0,0,,1655.0
159,Anjali Gupta,NRI Individual,PAN000159,0,0,,2496.0
160,Karan Pillai,Individual,PAN000160,0,0,,
161,Arjun Sharma,Individual,PAN000161,0,0,,
162,Meridian Ventures Pvt Ltd,Partnership Firm,PAN000162,0,0,,1453.0
163,Rohan Patel,Individual,PAN000163,0,0,,
164,Pooja Nair,Individual,PAN000164,0,0,,
165,Priya Nair,Individual,PAN000165,0,0,,
166,Alpine Realty LLP,Pvt Ltd Company,PAN000166,0,0,,2439.0
167,Rahul Kulkarni,NRI Individual,PAN000167,0,0,,2319.0
168,Horizon Holdings LLP,Pvt Ltd Company,PAN000168,0,0,,2030.0
169,Meera Kulkarni,Individual,PAN000169,0,0,,
170,Suresh Sharma,Individual,PAN000170,0,0,,
171,Vikram Sharma,Individual,PAN000171,0,0,,
172,Vikram Reddy,Individual,PAN000172,0,0,,
173,Horizon Realty Pvt Ltd,Pvt Ltd Company,PAN000173,0,0,,3560.0
174,Sneha Iyer,Individual,PAN000174,0,0,,
175,Summit Enterprises LLP,Pvt Ltd Company,PAN000175,0,0,,1643.0
176,Priya Rao,Individual,PAN000176,0,0,,
177,Anjali Patel,Individual,PAN000177,0,0,,
178,Sneha Menon,NRI Individual,PAN000178,0,0,,1797.0
179,Sunrise Realty Pvt Ltd,Pvt Ltd Company,PAN000179,0,0,,1990.0
180,Crestline Consultancy LLP,LLP,PAN000180,0,0,,1835.0
181,Meridian Ventures Pvt Ltd,LLP,PAN000181,0,0,,1006.0
182,Divya Iyer,Individual,PAN000182,0,0,,
183,Divya Menon,Individual,PAN000183,0,0,,
184,Novus Enterprises Pvt Ltd,Pvt Ltd Company,PAN000184,0,0,,1596.0
185,Arjun Singh,Individual,PAN000185,0,0,,
186,Anjali Reddy,Individual,PAN000186,0,0,,
187,Orbis Holdings Pvt Ltd,Pvt Ltd Company,PAN000187,0,0,,3073.0
188,Rohan Pillai,Individual,PAN000188,0,0,,
