transaction_id,property_id,buyer_entity_id,buyer_name,buyer_type,buyer_pan_hash,buyer_incorporation_age_days,seller_entity_id,seller_name,seller_pan_hash,fair_value,declared_value,cash_component_pct,holding_period_days,financing_type,is_ring_txn,aml_flag,pattern_types,buyer_txn_count,undervaluation_pct,value_deviation_pct,is_rapid_flip,is_shell_pattern,anomaly_score,in_detected_ring
700001,100001,15093,Anjali Kulkarni,NRI Individual,PAN015093,2392.0,32340,Amit Singh,PAN032340,60723557.0,59362619.0,4.1,2560,Mixed,0,0,none,1,2.241202701613807,-2.241202701613807,0,0,0.4234363182091228,0
700002,100002,7501,Zenith Consultancy Pvt Ltd,Pvt Ltd Company,PAN007501,2671.0,10170,Alpine Holdings LLP,PAN010170,70457790.0,50257269.0,0.0,3824,Bank Loan,0,1,undervaluation,1,28.67038690824677,-28.67038690824677,0,0,0.5543455426291669,0
700003,100003,15306,Sneha Nair,Individual,PAN015306,,19379,Sneha Gupta,PAN019379,51735834.0,51639090.0,4.5,2241,Bank Loan,0,0,none,1,0.1869961156903356,-0.1869961156903356,0,0,0.3739137106490383,0
700004,100004,22533,Rohan Singh,Individual,PAN022533,,19497,Priya Reddy,PAN019497,53215801.0,55310805.0,3.2,3287,NBFC Loan,0,0,none,1,-3.936808167183277,3.936808167183277,0,0,0.41970388628220057,0
700005,100005,12071,Meera Gupta,Individual,PAN012071,,31481,Novus Infra Pvt Ltd,PAN031481,28937891.0,28383868.0,3.6,3952,Mixed,0,0,none,2,1.9145244551512064,-1.9145244551512064,0,0,0.4562603438548179,0
700006,100006,15371,Anjali Kulkarni,NRI Individual,PAN015371,794.0,10788,Vertex Infra Pvt Ltd,PAN010788,60028675.0,69473759.0,2.0,31,NBFC Loan,0,1,rapid_flip,1,-15.734286988676663,15.734286988676663,1,0,0.5582535776274659,0
700007,100007,17892,Orbis Ventures Pvt Ltd,Partnership Firm,PAN017892,3572.0,5465,Priya Desai,PAN005465,64289977.0,63851698.0,0.5,51,Bank Loan,0,0,none,1,0.6817221290964219,-0.6817221290964219,1,0,0.5304495583228728,0
700008,100008,15549,Anjali Desai,Individual,PAN015549,,20861,Divya Menon,PAN020861,51457771.0,52287484.0,5.8,724,NBFC Loan,0,0,none,1,-1.6124153531640537,1.6124153531640537,0,0,0.4163966633989007,0
700009,100009,18779,Karan Singh,Individual,PAN018779,,3031,Crestline Ventures Pvt Ltd,PAN003031,64619190.0,64501867.0,2.6,897,Bank Loan,0,0,none,1,0.1815606169003356,-0.1815606169003356,0,0,0.3801210140102367,0
700010,100010,8810,Anjali Verma,Individual,PAN008810,,1074,Vertex Consultancy Pvt Ltd,PAN001074,239006564.0,240124382.0,5.1,2603,Bank Loan,0,0,none,2,-0.4676934312147175,0.4676934312147175,0,0,0.41041281062139706,0
700011,100011,30578,Neha Menon,Individual,PAN030578,,28942,Arjun Patel,PAN028942,111689815.0,123526838.0,0.7,3568,Self-funded,0,0,none,1,-10.598122129578243,10.598122129578243,0,0,0.4884627485701132,0
700012,100012,20065,Horizon Holdings LLP,Pvt Ltd Company,PAN020065,2497.0,20536,Karan Joshi,PAN020536,15370947.0,15639398.0,0.6,2514,Bank Loan,0,0,none,2,-1.7464831542259565,1.7464831542259565,0,0,0.46781721573332785,0
700013,100013,26170,Crestline Enterprises Pvt Ltd,Pvt Ltd Company,PAN026170,1479.0,29681,Crestline Realty LLP,PAN029681,67164291.0,70230126.0,2.7,1276,Bank Loan,0,0,none,2,-4.564680061909684,4.564680061909684,0,0,0.45245965404838295,0
700014,100014,32247,Rohan Iyer,NRI Individual,PAN032247,3764.0,2421,Divya Singh,PAN002421,27716383.0,26970346.0,3.9,419,Bank Loan,0,0,none,1,2.691682388715728,-2.691682388715728,0,0,0.42966036434389493,0
700015,100015,9337,Crestline Consultancy LLP,Pvt Ltd Company,PAN009337,3967.0,9916,Arjun Menon,PAN009916,65772058.0,68939092.0,0.5,491,Bank Loan,0,0,none,1,-4.815166343130088,4.815166343130088,0,0,0.46196044423703164,0
