property_id,city,locality,pincode,city_tier,tier,property_type,metro_distance_km,bhk,carpet_area_sqft,age_years,builder,builder_score,builder_tier,rera_registered,rera_number,num_amenities,amenities,circle_rate_per_sqft,price_per_sqft,total_price,asking_price_per_sqft,asking_total_price,stamp_duty_pct,stamp_duty_amt,registration_charge_amt,monthly_rent_est,monthly_rent_asking,rental_yield_pct,vastu_compliant,gated_community,rentable,sale_listing_id,sale_ask_value,sale_fair_value,sale_price_deviation_pct,broker_phone,broker_listing_count,description_reuse_count,days_on_market,num_images,sale_is_fraud,sale_fraud_type,rent_listing_id,rent_ask_value,rent_fair_value,rent_price_deviation_pct,rent_broker_phone,rent_broker_listing_count,rent_description_reuse_count,rent_days_on_market,rent_num_images,rent_is_fraud,rent_fraud_type,avg_rental_yield_pct,avg_yoy_appreciation_pct,stability_score,yield_norm,appreciation_norm,stability_norm,buyer_name,buyer_type,buyer_pan_hash,seller_name,declared_value,cash_component_pct,holding_period_days,undervaluation_pct,is_rapid_flip,is_shell_pattern,buyer_txn_count,financing_type,aml_flag,pattern_types,is_ring_txn,sale_fraud_probability,rent_fraud_probability,fraud_probability,fraud_type,aml_risk_probability,price_fairness_score,trust_score,compliance_score,investment_score,prism_score_raw,prism_score,prism_band,rent_price_fairness_score,rent_trust_score,rent_prism_score,rent_prism_band
100001,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.61,3,1296.8,19,Oberoi Realty,0.9,Tier1,1,PMHA87272,3,"Power Backup, Swimming Pool, Gymnasium",38835.0,46827.0,60723557.0,48586.0,63004205.0,0.06,3643413.0,30000.0,88698.0,96659.0,1.75,1,0,1,500001,63432326.0,60723557.0,4.46,+91-9921360872,34,1,114,14,0,none,500002.0,96618.0,88698.0,8.93,+91-9313286356,35.0,1.0,9.0,7.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Anjali Kulkarni,NRI Individual,PAN015093,Amit Singh,59362619.0,4.1,2560,2.241202701613807,0,0,1,Mixed,0,none,0,0.07616647,0.2140009105205536,0.07616647,none,0.036077682,0.777,0.9282585315704346,0.9639223,0.1501343729667142,0.6936995039625038,716,Good,0.5535,0.8110992260575295,655.0,Good
100002,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.69,2,1198.9,3,Godrej Properties,0.93,Tier1,1,PMHA59912,11,"Children's Play Area, Clubhouse, Swimming Pool, Indoor Games Room, Visitor Parking, Gymnasium, Power Backup, Landscaped Garden, Lift, CCTV, 24/7 Security",34208.0,58769.0,70457790.0,65535.0,78569346.0,0.06,4227467.0,30000.0,79425.0,80368.0,1.35,0,1,1,500003,78696714.0,70457790.0,11.69,+91-9134251557,35,1,94,6,0,none,500004.0,78699.0,79425.0,-0.91,+91-9293503633,37.0,1.0,30.0,10.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Zenith Consultancy Pvt Ltd,Pvt Ltd Company,PAN007501,Alpine Holdings LLP,50257269.0,0.0,3824,28.67038690824677,0,0,1,Bank Loan,1,undervaluation,0,0.28433895,0.04389684274792671,0.28433895,none,0.9203501,0.4155,0.7534118915557861,0.079649925,0.1501343729667142,0.40015465005199796,540,Needs Review,0.9545,0.9577876836642623,674.0,Good
100003,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.69,3,1198.4,7,Sobha Ltd,0.91,Tier1,1,PMHA30421,8,"24/7 Security, Children's Play Area, Landscaped Garden, Swimming Pool, Indoor Games Room, Lift, CCTV, Power Backup",29819.0,43172.0,51735834.0,43171.0,51735121.0,0.06,3104150.0,30000.0,65507.0,70104.0,1.52,1,1,1,500005,26629915.0,51735834.0,-48.53,+91-9715315935,34,1,157,5,1,price_manipulation,500006.0,70436.0,65507.0,7.52,+91-9910500619,28.0,1.0,12.0,8.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Sneha Nair,Individual,PAN015306,Sneha Gupta,51639090.0,4.5,2241,0.1869961156903356,0,0,1,Bank Loan,0,none,0,0.99720556,0.041605930775403976,0.99720556,price_manipulation,0.064437166,0.0,0.14607527792342007,0.93556285,0.1501343729667142,0.22169060397542453,433,Needs Review,0.624,0.9583349588409066,692.0,Good
100004,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.72,3,1087.0,11,DLF Ltd,0.92,Tier1,1,PMHA61186,3,"Swimming Pool, Indoor Games Room, Gymnasium",38930.0,48958.0,53215801.0,52150.0,56685883.0,0.06,3192948.0,30000.0,73994.0,76827.0,1.67,0,0,1,500007,57312338.0,53215801.0,7.7,+91-9659961305,20,1,135,12,0,none,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Rohan Singh,Individual,PAN022533,Priya Reddy,55310805.0,3.2,3287,-3.936808167183277,0,0,1,NBFC Loan,0,none,0,0.0086381445,,0.0086381445,none,0.22222844,0.615,0.9870576256752014,0.7777716,0.1501343729667142,0.634816624235617,681,Good,,,,
100005,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.67,1,571.6,2,Sobha Ltd,0.91,Tier1,1,PMHA46767,12,"Children's Play Area, Clubhouse, Landscaped Garden, Indoor Games Room, CCTV, Gymnasium, Jogging Track, Visitor Parking, Lift, 24/7 Security, Power Backup, Swimming Pool",34114.0,50628.0,28937891.0,52617.0,30074617.0,0.06,1736273.0,30000.0,32918.0,33910.0,1.37,1,1,1,500008,30732557.0,28937891.0,6.2,+91-9149978419,32,1,68,6,0,none,500009.0,35396.0,32918.0,7.53,+91-9531276844,43.0,1.0,76.0,8.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Meera Gupta,Individual,PAN012071,Novus Infra Pvt Ltd,28383868.0,3.6,3952,1.9145244551512064,0,0,2,Mixed,0,none,0,0.13887227,0.06656523048877716,0.13887227,none,0.02905122,0.69,0.8756585680961608,0.97094876,0.1501343729667142,0.6528734889526236,692,Good,0.6234999999999999,0.9371195540845393,691.0,Good
100006,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.57,3,1214.7,11,Godrej Properties,0.93,Tier1,1,PMHA31488,6,"Children's Play Area, Landscaped Garden, Swimming Pool, 24/7 Security, Jogging Track, Visitor Parking",34246.0,49418.0,60028675.0,53708.0,65239923.0,0.06,3601721.0,30000.0,85643.0,87605.0,1.71,0,1,1,500010,61829755.0,60028675.0,3.0,+91-9438143376,35,1,136,12,0,none,500011.0,87137.0,85643.0,1.74,+91-9767593851,32.0,1.0,50.0,3.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Anjali Kulkarni,NRI Individual,PAN015371,Vertex Infra Pvt Ltd,69473759.0,2.0,31,-15.734286988676663,1,0,1,NBFC Loan,1,rapid_flip,0,0.16449201,0.0735185444355011,0.16449201,none,0.9837366,0.85,0.8552818323135376,0.016263425,0.1501343729667142,0.5515576567382682,631,Fair,0.913,0.932609237229824,656.0,Good
100007,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.63,3,1233.5,16,Sobha Ltd,0.91,Tier1,1,PMHA73362,5,"Power Backup, Indoor Games Room, Visitor Parking, Gymnasium, 24/7 Security",40636.0,52120.0,64289977.0,55123.0,67994024.0,0.06,3857399.0,30000.0,76676.0,74515.0,1.43,0,0,1,500012,70073240.0,64289977.0,9.0,+91-9991413795,36,2,130,7,1,duplicate_listing,,,,,,,,,,,,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Orbis Ventures Pvt Ltd,Partnership Firm,PAN017892,Priya Desai,63851698.0,0.5,51,0.6817221290964219,1,0,1,Bank Loan,0,none,0,0.9699284,,0.9699284,duplicate_listing,0.035661083,0.55,0.16926087449193,0.9643389,0.1501343729667142,0.3979627023089994,539,Needs Review,,,,
100008,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.65,3,1102.0,11,Oberoi Realty,0.9,Tier1,1,PMHA69453,4,"Swimming Pool, Landscaped Garden, Power Backup, Lift",34916.0,46695.0,51457771.0,45453.0,50090053.0,0.06,3087466.0,30000.0,46189.0,47461.0,1.08,0,0,1,500013,51008552.0,51457771.0,-0.87,+91-9175215650,19,1,56,10,0,none,500014.0,47171.0,46189.0,2.13,+91-9909042384,27.0,1.0,40.0,3.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Anjali Desai,Individual,PAN015549,Divya Menon,52287484.0,5.8,724,-1.6124153531640537,0,0,1,NBFC Loan,0,none,0,0.010826928,0.035023681819438934,0.010826928,none,0.10501383,0.9565,0.9837971262931824,0.89498615,0.1501343729667142,0.7538706599874366,752,Excellent,0.8935,0.9632298704534769,737.0,Good
100009,Mumbai,Bandra West,400050,Tier1,premium,Apartment,0.53,2,1188.6,2,Brigade Group,0.88,Tier1,1,PMHA49704,12,"Jogging Track, Swimming Pool, Visitor Parking, Lift, Gymnasium, Indoor Games Room, CCTV, Power Backup, Landscaped Garden, Clubhouse, Children's Play Area, 24/7 Security",34813.0,54365.0,64619190.0,58662.0,69727285.0,0.06,3877151.0,30000.0,82791.0,80728.0,1.54,0,1,1,500015,68919296.0,64619190.0,6.65,+91-9469859753,38,1,78,9,0,none,500016.0,79890.0,82791.0,-3.5,+91-9356560330,23.0,1.0,74.0,4.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Karan Singh,Individual,PAN018779,Crestline Ventures Pvt Ltd,64501867.0,2.6,897,0.1815606169003356,0,0,1,Bank Loan,0,none,0,0.045304544,0.017648745328187943,0.045304544,none,0.083856866,0.6675,0.9530911913871765,0.9161431,0.1501343729667142,0.6611324245185722,697,Good,0.825,0.9765985664710402,729.0,Good
100010,Mumbai,Bandra West,400050,Tier1,premium,Villa,0.63,5,4352.9,6,DLF Ltd,0.92,Tier1,1,PMHA43382,6,"24/7 Security, Lift, Landscaped Garden, Children's Play Area, CCTV, Gymnasium",28524.0,54907.0,239006564.0,53630.0,233446457.0,0.06,14340394.0,30000.0,228578.0,251191.0,1.15,1,1,1,500017,232385477.0,239006564.0,-2.77,+91-9386202877,39,1,166,14,0,none,500018.0,244753.0,228578.0,7.08,+91-9620804731,33.0,1.0,11.0,6.0,0.0,none,1.432,4.336,0.2874914735608603,0.0,0.0766068759342302,0.5974581129651105,Anjali Verma,Individual,PAN008810,Vertex Consultancy Pvt Ltd,240124382.0,5.1,2603,-0.4676934312147175,0,0,2,Bank Loan,0,none,0,0.016974112,0.035506606101989746,0.016974112,none,0.029071633,0.8614999999999999,0.979972063922882,0.9709284,0.1501343729667142,0.7356144680614342,741,Good,0.646,0.9642193848133087,700.0,Good
